DateTime,Return1,Return5,SmaNorm,RSI14,DeltaRSI,ATR14,StdDev20,ZClose,VolZ,BodyToRange,IntraBarPos,UpperWick,LowerWick,Close
20250612 121500,0.000764,0.000205,-0.003498,65.255493,2.521481,41.899371,68.979979,1.112642,0.827513,0.340000,0.755000,12.250000,20.750000,21939.250000
20250612 123000,0.000752,0.000364,-0.003825,67.582394,2.326901,42.067273,68.421392,1.227321,0.095630,0.367232,0.796610,9.000000,19.000000,21955.750000
20250612 124500,0.000114,0.001869,-0.003512,67.932817,0.350424,43.116040,66.803420,1.154507,0.260435,0.057269,0.797357,11.500000,42.000000,21958.250000
20250612 130000,-0.001584,0.000068,-0.001512,58.471417,-9.461401,43.036323,58.799681,0.563779,-0.468134,0.833333,0.083333,3.500000,3.500000,21923.500000
20250612 131500,0.001265,0.001311,-0.002361,62.913480,4.442063,43.158728,53.228464,0.973633,-0.033862,0.603352,0.765363,10.500000,7.250000,21951.250000
20250612 133000,-0.000490,0.000057,-0.001464,60.225961,-2.687519,41.736676,43.432239,0.739658,-1.060633,0.451613,0.268817,6.500000,6.250000,21940.500000
20250612 134500,0.000615,-0.000080,-0.001817,62.398289,2.172328,40.773342,41.456112,0.962162,-0.731814,0.477876,0.522124,13.500000,1.250000,21954.000000
20250612 140000,-0.000775,-0.000968,-0.000812,58.095334,-4.302955,39.718103,37.550622,0.474360,-0.954788,0.644231,0.269231,2.250000,7.000000,21937.000000
20250612 141500,-0.000046,0.000570,-0.000541,57.842650,-0.252684,38.506096,32.620785,0.364032,-1.080096,0.076923,0.384615,12.250000,8.750000,21936.000000
20250612 143000,-0.000707,-0.001402,0.000375,53.927373,-3.915277,38.934232,24.267426,-0.338417,-0.470140,0.353933,0.415730,10.250000,18.500000,21920.500000
20250612 144500,-0.000456,-0.001368,0.000901,51.505130,-2.422243,38.313930,22.011854,-0.896676,-0.738798,0.338843,0.190083,14.250000,5.750000,21910.500000
20250612 150000,0.001220,-0.000763,-0.000137,57.061190,5.556060,38.112935,14.304605,0.210597,-0.952100,0.746479,0.943662,2.000000,7.000000,21937.250000
20250612 151500,-0.000011,0.000000,-0.000074,56.995468,-0.065722,36.604868,13.535249,0.119133,-1.241512,0.000000,0.441176,9.500000,7.500000,21937.000000
20250612 153000,-0.000068,-0.000023,0.000029,56.574424,-0.421044,35.740235,13.098062,-0.048671,-0.863001,0.071429,0.285714,15.750000,7.000000,21935.500000
20250612 154500,-0.001083,-0.000399,0.001043,50.245349,-6.329075,34.990932,14.039336,-1.628460,-0.553133,0.940000,0.060000,0.000000,1.500000,21911.750000
20250612 160000,0.001152,0.001209,-0.000104,55.894640,5.649290,35.670151,14.048999,0.161933,2.160320,0.567416,0.977528,1.000000,18.250000,21937.000000
20250612 161500,-0.000342,-0.000353,0.000197,53.935700,-1.958940,34.640140,13.763147,-0.313337,-0.345679,0.329412,0.129412,11.500000,2.750000,21929.500000
20250612 163000,-0.000707,-0.001049,0.000897,50.033021,-3.902679,33.683702,13.975291,-1.406053,-1.933969,0.694118,0.176471,2.750000,3.750000,21914.000000
20250612 164500,0.000011,-0.000969,0.000868,50.095743,0.062722,32.134866,14.394112,-1.320852,-1.802700,0.000000,0.312500,8.250000,3.750000,21914.250000
20250612 170000,-0.000240,-0.000126,0.001077,48.712872,-1.382871,30.660947,15.178166,-1.554041,-1.546712,0.478261,0.239130,3.250000,2.750000,21909.000000
20250612 181500,-0.000548,-0.001825,0.001529,45.613452,-3.099420,30.453022,16.941609,-1.975904,-1.517253,0.432432,0.324324,6.750000,9.000000,21897.000000
20250612 183000,-0.000891,-0.002374,0.002243,41.043429,-4.570023,29.956378,19.495813,-2.516566,-1.445422,0.824176,0.175824,0.000000,4.000000,21877.500000
20250612 184500,-0.000331,-0.001998,0.002374,39.460449,-1.582980,28.977351,21.658179,-2.396900,-1.242965,0.415385,0.523077,1.000000,8.500000,21870.250000
20250612 190000,0.000491,-0.001518,0.001784,42.972580,3.512131,27.943254,23.434787,-1.665793,-1.206267,0.724138,0.741379,3.750000,0.250000,21881.000000
20250612 191500,0.000091,-0.001187,0.001537,43.627823,0.655243,26.929450,23.609783,-1.424198,-1.076955,0.181818,0.854545,2.000000,9.250000,21883.000000
20250612 193000,-0.000171,-0.000811,0.001568,42.638570,-0.989253,25.720204,24.277288,-1.413358,-1.051433,0.375000,0.025000,6.000000,0.250000,21879.250000
20250612 194500,-0.000480,-0.000400,0.001854,39.909805,-2.728766,25.954475,24.287162,-1.669606,-0.771620,0.405172,0.439655,4.500000,12.750000,21868.750000
20250612 200000,-0.003757,-0.003825,0.005280,25.945175,-13.964630,30.832727,35.298572,-3.258984,-0.467998,0.877984,0.042440,7.500000,4.000000,21786.750000
20250612 201500,-0.003771,-0.008088,0.008545,18.844268,-7.100906,43.451818,54.726245,-3.389142,0.905250,0.391566,0.572289,7.500000,118.750000,21704.750000
20250612 203000,-0.004838,-0.013017,0.012694,13.689841,-5.154428,49.937402,83.089470,-3.300057,0.463125,0.795158,0.173184,4.250000,23.250000,21600.000000
20250612 204500,-0.000394,-0.013239,0.012354,13.370253,-0.319588,51.441874,102.856879,-2.593409,0.146937,0.091549,0.528169,27.000000,37.500000,21591.500000
20250612 210000,-0.001170,-0.013929,0.012680,12.441118,-0.929134,54.696025,119.107451,-2.295826,0.180194,0.304124,0.435567,25.250000,42.250000,21566.250000
20250612 211500,-0.002461,-0.012633,0.014190,10.752110,-1.689008,56.574881,136.355383,-2.238727,0.003726,0.651235,0.299383,4.000000,24.250000,21513.250000
20250612 213000,0.001185,-0.007677,0.012068,16.617492,5.865382,56.998104,146.384129,-1.775636,-0.217477,0.380000,0.540000,28.750000,10.000000,21538.750000
20250612 214500,0.001705,-0.001135,0.009565,24.335293,7.717801,58.408953,151.646659,-1.360811,-0.075693,0.521173,0.837134,12.500000,24.250000,21575.500000
20250612 220000,0.001713,0.000972,0.007086,31.236219,6.900927,57.826171,151.539629,-1.010544,-0.091450,0.766169,0.865672,6.750000,5.000000,21612.500000
20250612 221500,-0.001598,0.000545,0.007881,28.615517,-2.620702,57.195730,151.898730,-1.119578,-0.319532,0.714286,0.260204,1.250000,12.750000,21578.000000
20250612 223000,-0.001519,0.001486,0.008558,26.355041,-2.260476,56.771035,153.013613,-1.204958,-0.293573,0.639024,0.156098,10.500000,8.000000,21545.250000
20250612 224500,-0.002300,-0.001998,0.009907,23.352370,-3.002671,58.483818,154.938266,-1.374418,0.377560,0.613003,0.306502,6.500000,24.750000,21495.750000
